State_Name,District,Sub_District,Financial_Year,Month,Indicator_Code,Indicator_Name,Code,Section,Public,Private,Rural,Urban
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.1,Total number of pregnant women registered for ANC,M1 ,Ante Natal Care (ANC),195,0,195,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",M1 ,Ante Natal Care (ANC),193,0,193,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.2.1,Number of PW given TT1/ Td1,M1 ,Ante Natal Care (ANC),173,0,173,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.2.2,Number of PW given TT2 / Td2,M1 ,Ante Natal Care (ANC),166,0,166,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.2.3,Number of PW given TT Booster/ Td Booster,M1 ,Ante Natal Care (ANC),8,0,8,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.2.4,Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,M1 ,Ante Natal Care (ANC),195,0,195,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.2.5,Number of PW provided full Course 360 Calcium tablets,M1 ,Ante Natal Care (ANC),195,0,195,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,M1 ,Ante Natal Care (ANC),168,0,168,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.2.7,Number of PW received 4 or more ANC check ups,M1 ,Ante Natal Care (ANC),170,0,170,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,M1 ,Ante Natal Care (ANC),0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.3.1,New cases of PW with hypertension detected,M1 ,Ante Natal Care (ANC),2,0,2,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",M1 ,Ante Natal Care (ANC),2,0,2,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.3.2,Number of Eclampsia cases managed during delivery,M1 ,Ante Natal Care (ANC),0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,M1 ,Ante Natal Care (ANC),170,0,170,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.4.2,Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),M1 ,Ante Natal Care (ANC),142,0,142,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.4.3,Number of PW having Hb level<7 (out of total tested cases),M1 ,Ante Natal Care (ANC),6,0,6,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.4.4,Number of PW having severe anaemia (Hb < 7) treated,M1 ,Ante Natal Care (ANC),5,0,5,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.6.1.a,Number of PW tested using POC test for Syphilis,M1 ,Ante Natal Care (ANC),149,0,149,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.6.1.b,"Out of above,number of PW found sero positive for Syphilis",M1 ,Ante Natal Care (ANC),0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.6.2.a,Number of pregnant women tested for Syphilis,M1 ,Ante Natal Care (ANC),6,0,6,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,M1 ,Ante Natal Care (ANC),0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),M2 ,Deliveries,1,0,1,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,2.2,Number of Institutional Deliveries conducted (Including C-Sections),M2 ,Deliveries,150,0,150,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,M2 ,Deliveries,148,0,148,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,M2 ,Deliveries,155,0,155,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,4.1.1.a,Live Birth - Male,M4 ,Pregnancy outcome & details of new-born,81,0,81,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,4.1.1.b,Live Birth - Female,M4 ,Pregnancy outcome & details of new-born,68,0,68,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,4.1.2,Number of Pre term newborns (< 37 weeks of pregnancy),M4 ,Pregnancy outcome & details of new-born,1,0,1,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,4.1.3,Still Birth,M4 ,Pregnancy outcome & details of new-born,4,0,4,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,4.2,Abortion (spontaneous),M4 ,Pregnancy outcome & details of new-born,9,0,9,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,4.4.1,Number of newborns weighed at birth,M4 ,Pregnancy outcome & details of new-born,149,0,149,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,4.4.2,Number of newborns having weight less than 2.5 kg,M4 ,Pregnancy outcome & details of new-born,18,0,18,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,4.4.3,Number of Newborns breast fed within 1 hour of birth ,M4 ,Pregnancy outcome & details of new-born,149,0,149,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,6.1,Women receiving 1st post partum checkups within 48 hours of home delivery,M6 ,Post Natal Care (PNC),1,0,1,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,M6 ,Post Natal Care (PNC),230,0,230,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,6.3,Number of mothers provided full course of 180 IFA tablets after delivery,M6 ,Post Natal Care (PNC),226,0,226,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,6.4,Number of mothers provided full course of 360 Calcium tablets after delivery,M6 ,Post Natal Care (PNC),233,0,233,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,7.1.2,New RTI/STI cases identified - Female,M7 ,Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases,4,0,4,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,7.2.2,RTI/STI for which treatment initiated -Female,M7 ,Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,M8 ,Family Planning,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,M8 ,Family Planning,0,0,0,0
